Gene Symbol,Deletion,Diploid,Gain
PLEKHN1,38.94,58.71,2.35
PRDM16,38.94,58.71,2.35
PRKCZ,38.94,58.71,2.35
PUSL1,38.94,58.71,2.35
RER1,38.94,58.71,2.35
RNF223,38.94,58.71,2.35
SAMD11,38.94,58.71,2.35
SCNN1D,38.94,58.71,2.35
SDF4,38.94,58.71,2.35
SKI,38.94,58.71,2.35
SLC35E2B,38.94,58.71,2.35
SLC35E2,38.94,58.71,2.35
SSU72,38.94,58.71,2.35
TAS1R3,38.94,58.71,2.35
TMEM240,38.94,58.71,2.35
TMEM52,38.94,58.71,2.35
TMEM88B,38.94,58.71,2.35
TNFRSF14,38.94,58.71,2.35
TNFRSF18,38.94,58.71,2.35
TNFRSF4,38.94,58.71,2.35
TTC34,38.94,58.71,2.35
TTLL10,38.94,58.71,2.35
UBE2J2,38.94,58.71,2.35
VWA1,38.94,58.71,2.35
WASH7P,38.94,58.71,2.35
hsa-mir-1302-2,38.94,58.71,2.35
hsa-mir-200a,38.94,58.71,2.35
hsa-mir-200b,38.94,58.71,2.35
hsa-mir-4251,38.94,58.71,2.35
hsa-mir-429,38.94,58.71,2.35
ARHGEF16,39.14,58.71,2.15
MEGF6,39.14,58.71,2.15
MIR551A,39.14,58.71,2.15
hsa-mir-551a,39.14,58.71,2.15
TPRG1L,39.14,58.51,2.35
WRAP73,39.14,58.51,2.35
TP73,39.14,58.51,2.35
TP73-AS1,38.94,58.9,2.15
CCDC27,38.94,58.9,2.15
LOC388588,38.94,58.9,2.15
LRRC47,38.94,58.9,2.15
CEP104,39.53,58.32,2.15
DFFB,39.72,58.12,2.15
C1orf174,39.72,58.12,2.15
LOC100133612,39.72,58.12,2.15
LOC728716,39.72,58.12,2.15
LOC284661,39.92,57.93,2.15
AJAP1,39.92,57.93,2.15
MIR4417,40.7,57.14,2.15
MIR4689,40.9,56.95,2.15
NPHP4,41.09,56.75,2.15
KCNAB2,41.09,56.75,2.15
CHD5,41.09,56.75,2.15
RPL22,41.09,56.75,2.15
RNF207,41.29,56.75,1.96
ICMT,41.29,56.75,1.96
GPR153,41.29,56.75,1.96
HES3,41.29,56.75,1.96
ACOT7,41.09,56.75,2.15
HES2,40.9,56.95,2.15
ESPN,40.9,56.95,2.15
MIR4252,40.9,56.95,2.15
hsa-mir-4252,40.9,56.95,2.15
PLEKHG5,40.9,56.95,2.15
TNFRSF25,40.9,56.95,2.15
NOL9,40.9,56.95,2.15
TAS1R1,40.9,56.95,2.15
ZBTB48,40.9,56.95,2.15
KLHL21,40.9,56.95,2.15
PHF13,40.9,56.95,2.15
THAP3,40.9,56.95,2.15
DNAJC11,40.9,56.95,2.15
CAMTA1,41.29,56.56,2.15
VAMP3,41.1,56.75,2.15
PER3,41.1,56.75,2.15
UTS2,41.1,56.75,2.15
TNFRSF9,41.09,56.75,2.15
PARK7,41.1,56.75,2.15
ERRFI1,41.29,56.56,2.15
SLC45A1,41.1,56.75,2.15
RERE,41.09,56.75,2.15
ENO1,40.31,57.53,2.15
ENO1-AS1,40.31,57.53,2.15
CA6,40.51,57.34,2.15
SLC2A7,40.51,57.34,2.15
SLC2A5,40.51,57.34,2.15
GPR157,40.51,57.34,2.15
MIR34A,40.51,57.34,2.15
hsa-mir-34a,40.51,57.34,2.15
H6PD,40.51,57.34,2.15
SPSB1,40.51,57.34,2.15
SLC25A33,40.12,57.73,2.15
TMEM201,39.93,57.93,2.15
C1orf200,39.93,57.93,2.15
PIK3CD,39.93,57.93,2.15
CLSTN1,39.93,57.93,2.15
CTNNBIP1,39.93,57.93,2.15
LZIC,39.93,57.93,2.15
NMNAT1,39.93,57.93,2.15
RBP7,39.93,57.93,2.15
UBE4B,39.73,58.12,2.15
KIF1B,39.34,58.32,2.35
hsa-mir-1273d,39.34,58.51,2.15
PGD,39.14,58.51,2.35
APITD1-CORT,39.14,58.51,2.35
APITD1,39.14,58.51,2.35
CORT,39.14,58.51,2.35
DFFA,39.14,58.51,2.35
PEX14,39.14,58.71,2.15
CASZ1,39.14,58.71,2.15
C1orf127,39.14,58.71,2.15
TARDBP,38.95,58.71,2.35
MASP2,38.95,58.71,2.35
SRM,38.95,58.71,2.35
EXOSC10,38.95,58.71,2.35
MTOR,38.95,58.71,2.35
ANGPTL7,38.75,58.9,2.35
UBIAD1,38.36,59.1,2.54
PTCHD2,38.75,58.71,2.54
FBXO2,38.36,59.3,2.35
FBXO44,38.36,59.3,2.35
FBXO6,38.36,59.3,2.35
MAD2L2,38.36,59.3,2.35
C1orf187,38.36,59.3,2.35
AGTRAP,38.36,59.3,2.35
MTHFR,38.36,59.3,2.35
CLCN6,38.36,59.3,2.35
NPPA-AS1,38.36,59.3,2.35
NPPA,38.36,59.3,2.35
NPPB,38.36,59.3,2.35
KIAA2013,38.36,59.3,2.35
PLOD1,38.36,59.3,2.35
MFN2,38.36,59.3,2.35
MIIP,38.36,59.3,2.35
TNFRSF8,38.36,59.3,2.35
TNFRSF1B,38.36,59.3,2.35
MIR4632,38.36,59.3,2.35
VPS13D,38.36,59.3,2.35
SNORA59A|chr1,38.36,59.3,2.35
SNORA59B|chr1,38.36,59.3,2.35
DHRS3,38.16,59.49,2.35
AADACL4,37.97,59.69,2.35
AADACL3,37.97,59.69,2.35
C1orf158,37.97,59.69,2.35
HNRNPCL1,37.97,59.69,2.35
LOC440563,37.97,59.69,2.35
LOC649330,37.97,59.69,2.35
PRAMEF10,37.97,59.69,2.35
PRAMEF11,37.97,59.69,2.35
PRAMEF12,37.97,59.69,2.35
PRAMEF13,37.97,59.69,2.35
PRAMEF14,37.97,59.69,2.35
PRAMEF15,37.97,59.69,2.35
PRAMEF16,37.97,59.69,2.35
PRAMEF17,37.97,59.69,2.35
PRAMEF18,37.97,59.69,2.35
PRAMEF19,37.97,59.69,2.35
PRAMEF1,37.97,59.69,2.35
PRAMEF20,37.97,59.69,2.35
PRAMEF21,37.97,59.69,2.35
PRAMEF22,37.97,59.69,2.35
PRAMEF2,37.97,59.69,2.35
PRAMEF3,37.97,59.69,2.35
PRAMEF4,37.97,59.69,2.35
PRAMEF5,37.97,59.69,2.35
PRAMEF6,37.97,59.69,2.35
PRAMEF7,37.97,59.69,2.35
PRAMEF8,37.97,59.69,2.35
PRAMEF9,37.97,59.69,2.35
LRRC38,37.77,59.88,2.35
PDPN,37.77,59.88,2.35
PRDM2,37.77,59.88,2.35
KAZN,37.77,59.88,2.35
C1orf126,37.77,59.88,2.35
TMEM51,37.77,59.88,2.35
FHAD1,37.77,59.88,2.35
EFHD2,37.77,59.88,2.35
CTRC,37.77,59.88,2.35
CELA2A,37.77,59.88,2.35
CELA2B,37.77,59.88,2.35
CASP9,37.77,59.88,2.35
DNAJC16,37.77,59.88,2.35
AGMAT,37.77,59.88,2.35
DDI2,37.77,59.88,2.35
RSC1A1,37.57,60.08,2.35
PLEKHM2,37.57,60.08,2.35
SLC25A34,37.57,60.08,2.35
TMEM82,37.57,60.08,2.35
FBLIM1,37.57,60.08,2.35
UQCRHL,37.57,60.08,2.35
FLJ37453,37.57,59.88,2.54
SPEN,37.57,59.88,2.54
ZBTB17,37.57,59.88,2.54
C1orf64,37.57,59.88,2.54
HSPB7,37.57,59.88,2.54
CLCNKA,37.57,59.88,2.54
CLCNKB,37.57,59.88,2.54
FAM131C,37.57,59.88,2.54
EPHA2,37.57,59.88,2.54
ARHGEF19,37.57,59.88,2.54
RSG1,37.57,60.08,2.35
FBXO42,37.57,60.08,2.35
C1orf144,37.57,60.08,2.35
SPATA21,37.57,60.08,2.35
NECAP2,37.57,60.08,2.35
CROCCP3,37.57,60.08,2.35
ATP13A2,37.57,60.08,2.35
CROCCP2,37.57,60.08,2.35
CROCC,37.57,60.08,2.35
ESPNP,37.57,60.08,2.35
MFAP2,37.57,60.08,2.35
MIR3675,37.57,60.08,2.35
MST1P2,37.57,60.08,2.35
MST1P9,37.57,60.08,2.35
NBPF1,37.57,60.08,2.35
SDHB,37.18,60.27,2.54
PADI2,37.18,60.27,2.54
PADI1,37.18,60.27,2.54
PADI3,37.18,60.27,2.54
PADI4,37.18,60.08,2.74
PADI6,37.18,60.08,2.74
RCC2,37.18,60.08,2.74
ARHGEF10L,37.18,60.08,2.74
ACTL8,37.18,60.27,2.54
IGSF21,37.18,60.27,2.54
KLHDC7A,37.18,60.27,2.54
PAX7,36.99,60.27,2.74
TAS1R2,36.99,60.27,2.74
ALDH4A1,36.99,60.27,2.74
MIR4695,36.99,60.27,2.74
IFFO2,36.99,60.27,2.74
hsa-mir-1290,36.99,60.27,2.74
UBR4,37.18,60.08,2.74
KIAA0090,37.18,60.08,2.74
MRTO4,37.18,60.08,2.74
AKR7L,37.18,60.08,2.74
AKR7A3,37.18,60.08,2.74
LOC100506730,37.18,60.08,2.74
AKR7A2,37.18,60.08,2.74
PQLC2,37.18,60.08,2.74
CAPZB,37.18,60.08,2.74
C1orf151-NBL1,37.38,60.08,2.54
MINOS1,37.38,60.08,2.54
NBL1,37.38,60.08,2.54
HTR6,37.38,60.08,2.54
TMCO4,37.57,59.88,2.54
RNF186,37.57,59.88,2.54
OTUD3,37.57,59.88,2.54
PLA2G2E,37.57,59.88,2.54
PLA2G2A,37.57,59.88,2.54
PLA2G5,37.77,59.69,2.54
PLA2G2D,37.77,59.69,2.54
PLA2G2F,37.77,59.69,2.54
PLA2G2C,37.77,59.69,2.54
UBXN10,37.77,59.69,2.54
VWA5B1,37.77,59.49,2.74
LOC339505,37.77,59.49,2.74
CAMK2N1,37.77,59.49,2.74
MUL1,37.77,59.49,2.74
FAM43B,37.77,59.49,2.74
CDA,37.77,59.49,2.74
PINK1,37.77,59.49,2.74
DDOST,37.77,59.49,2.74
KIF17,37.77,59.49,2.74
SH2D5,37.57,59.69,2.74
HP1BP3,37.57,59.69,2.74
EIF4G3,37.58,59.69,2.74
hsa-mir-1256,37.77,59.69,2.54
ECE1,37.77,59.49,2.74
LOC100506801,37.58,59.69,2.74
NBPF3,37.77,59.49,2.74
ALPL,37.77,59.49,2.74
RAP1GAP,37.77,59.49,2.74
USP48,37.77,59.49,2.74
LDLRAD2,37.57,59.69,2.74
HSPG2,37.57,59.69,2.74
CELA3B,37.77,59.49,2.74
CELA3A,37.77,59.49,2.74
LINC00339,37.77,59.49,2.74
CDC42,37.77,59.49,2.74
WNT4,37.77,59.49,2.74
ZBTB40,37.77,59.1,3.14
EPHA8,37.57,59.1,3.33
C1QA,37.57,59.1,3.33
C1QC,37.57,59.1,3.33
C1QB,37.57,59.1,3.33
EPHB2,37.57,58.9,3.52
MIR4684,37.57,59.1,3.33
MIR4253,37.38,59.3,3.33
hsa-mir-4253,37.38,59.3,3.33
LOC729059,37.38,59.49,3.14
KDM1A,37.38,59.49,3.14
MIR3115,37.38,59.49,3.14
hsa-mir-3115,37.38,59.49,3.14
LUZP1,37.57,59.3,3.13
HTR1D,37.57,59.3,3.13
HNRNPR,37.57,59.49,2.94
ZNF436,37.57,59.88,2.54
C1orf213,37.57,59.88,2.54
TCEA3,37.77,59.69,2.54
ASAP3,37.77,59.69,2.54
E2F2,37.77,59.69,2.54
ID3,37.77,59.69,2.54
MDS2,37.77,59.69,2.54
RPL11,37.77,59.69,2.54
TCEB3,37.57,59.88,2.54
LOC100506963,37.57,59.88,2.54
PITHD1,37.57,59.88,2.54
GALE,37.57,59.88,2.54
LYPLA2,37.57,59.88,2.54
HMGCL,37.57,59.88,2.54
FUCA1,37.57,59.88,2.54
CNR2,37.57,59.88,2.54
MIR378F,37.57,59.88,2.54
PNRC2,37.57,59.88,2.54
SRSF10,37.57,59.88,2.54
MYOM3,37.38,59.88,2.74
IL22RA1,37.18,60.08,2.74
IL28RA,37.18,60.08,2.74
LOC284632,37.18,60.08,2.74
GRHL3,37.18,60.08,2.74
C1orf201,37.18,60.08,2.74
NIPAL3,37.18,60.08,2.74
RCAN3AS,37.18,60.08,2.74
RCAN3,37.18,60.08,2.74
C1orf130,36.99,60.27,2.74
SRRM1,36.99,60.27,2.74
CLIC4,36.99,60.27,2.74
RUNX3,36.99,60.27,2.74
SYF2,37.18,60.08,2.74
C1orf63,37.18,60.08,2.74
RHD,37.18,60.08,2.74
TMEM50A,37.18,60.08,2.74
RHCE,37.18,60.08,2.74
TMEM57,37.18,60.08,2.74
LDLRAP1,37.18,60.08,2.74
MAN1C1,37.18,60.08,2.74
SEPN1,37.18,60.08,2.74
FAM54B,37.18,60.08,2.74
LOC646471,37.18,60.08,2.74
C1orf135,37.18,60.08,2.74
PAQR7,37.18,60.08,2.74
STMN1,37.18,60.08,2.74
MIR3917,37.18,60.08,2.74
PAFAH2,37.18,60.08,2.74
EXTL1,37.18,60.08,2.74
SLC30A2,37.18,60.08,2.74
TRIM63,37.18,60.08,2.74
PDIK1L,37.18,60.08,2.74
FAM110D,37.18,60.08,2.74
CNKSR1,37.18,60.08,2.74
ZNF593,37.18,60.08,2.74
CATSPER4,37.18,60.08,2.74
CEP85,37.18,60.08,2.74
SH3BGRL3,37.18,60.08,2.74
UBXN11,37.18,60.08,2.74
CD52,37.18,60.08,2.74
AIM1L,37.18,60.08,2.74
ZNF683,37.18,60.08,2.74
LIN28A,37.18,60.08,2.74
DHDDS,37.38,59.88,2.74
HMGN2,37.38,59.88,2.74
RPS6KA1,37.57,59.88,2.54
MIR1976,37.57,59.88,2.54
hsa-mir-1976,37.57,59.88,2.54
ARID1A,37.57,59.88,2.54
PIGV,37.57,59.88,2.54
ZDHHC18,37.57,59.69,2.74
SFN,37.57,59.69,2.74
GPN2,37.57,59.69,2.74
GPATCH3,37.57,59.69,2.74
NR0B2,37.57,59.69,2.74
NUDC,37.57,59.69,2.74
C1orf172,37.57,59.69,2.74
TRNP1,37.57,59.69,2.74
FAM46B,37.57,59.69,2.74
SLC9A1,37.57,59.69,2.74
WDTC1,37.38,59.88,2.74
TMEM222,37.18,60.08,2.74
LOC644961,37.18,60.08,2.74
SYTL1,37.18,60.08,2.74
MAP3K6,36.99,60.08,2.94
FCN3,36.99,60.08,2.94
CD164L2,37.18,59.88,2.94
GPR3,36.79,60.47,2.74
WASF2,36.79,60.47,2.74
AHDC1,36.79,60.47,2.74
FGR,36.79,60.47,2.74
IFI6,36.79,60.47,2.74
FAM76A,36.59,60.67,2.74
STX12,36.4,60.86,2.74
PPP1R8,36.4,60.86,2.74
SCARNA1,36.4,60.86,2.74
C1orf38,36.4,60.86,2.74
RPA2,36.4,60.86,2.74
SMPDL3B,36.4,60.86,2.74
XKR8,36.4,60.86,2.74
EYA3,36.4,60.86,2.74
LOC653566,36.4,60.86,2.74
PTAFR,36.4,60.86,2.74
DNAJC8,36.4,60.86,2.74
ATPIF1,36.4,60.86,2.74
SESN2,36.4,60.86,2.74
MED18,36.4,60.86,2.74
PHACTR4,36.4,60.67,2.94
RCC1,36.2,60.86,2.94
SNHG3,36.2,60.86,2.94
TRNAU1AP,36.2,60.86,2.94
SNHG12,36.2,60.86,2.94
SNORA16A,36.2,60.86,2.94
SNORA44,36.2,60.86,2.94
SNORA61,36.2,60.86,2.94
SNORD99,36.2,60.86,2.94
RAB42,36.2,60.86,2.94
TAF12,36.2,60.86,2.94
RNU11,36.2,60.86,2.94
GMEB1,36.2,61.06,2.74
YTHDF2,36.2,61.06,2.74
OPRD1,36.2,61.06,2.74
EPB41,36.2,61.06,2.74
TMEM200B,36.01,61.25,2.74
SRSF4,36.01,61.25,2.74
MECR,36.01,61.25,2.74
PTPRU,36.01,61.25,2.74
MATN1,35.81,61.45,2.74
LOC100129196,35.81,61.45,2.74
LAPTM5,35.81,61.45,2.74
MIR4420,35.81,61.45,2.74
SDC3,35.81,61.45,2.74
PUM1,35.81,61.45,2.74
SNORD103A,35.81,61.45,2.74
SNORD103B,35.81,61.45,2.74
SNORD85,35.81,61.45,2.74
PRO0611,35.81,61.45,2.74
NKAIN1,35.81,61.45,2.74
SNRNP40,35.81,61.25,2.94
ZCCHC17,35.81,61.25,2.94
FABP3,35.81,61.25,2.94
SERINC2,35.81,61.25,2.94
LOC149086,35.81,61.25,2.94
LOC284551,35.81,61.25,2.94
TINAGL1,35.81,61.25,2.94
HCRTR1,35.81,61.25,2.94
PEF1,35.81,61.25,2.94
COL16A1,35.81,61.25,2.94
BAI2,35.81,61.25,2.94
MIR4254,35.81,61.25,2.94
hsa-mir-4254,35.81,61.25,2.94
SPOCD1,35.81,61.25,2.94
PTP4A2,35.81,61.25,2.94
KHDRBS1,35.81,61.25,2.94
TMEM39B,35.81,61.25,2.94
KPNA6,35.81,61.25,2.94
TXLNA,35.81,61.25,2.94
CCDC28B,35.81,61.25,2.94
DCDC2B,35.81,61.25,2.94
IQCC,35.81,61.25,2.94
TMEM234,35.81,61.25,2.94
EIF3I,35.81,61.25,2.94
MTMR9LP,35.81,61.25,2.94
FAM167B,35.81,61.25,2.94
LCK,36.01,61.06,2.94
HDAC1,36.01,61.06,2.94
MARCKSL1,36.01,61.06,2.94
LOC100128071,36.01,61.06,2.94
TSSK3,36.01,61.06,2.94
BSDC1,36.01,61.06,2.94
ZBTB8B,36.01,61.06,2.94
ZBTB8A,36.01,61.25,2.74
ZBTB8OS,36.01,61.25,2.74
RBBP4,36.01,61.25,2.74
SYNC,36.01,61.25,2.74
KIAA1522,36.01,61.25,2.74
YARS,36.01,61.25,2.74
S100PBP,36.01,61.25,2.74
FNDC5,36.01,61.25,2.74
HPCA,36.01,61.25,2.74
TMEM54,36.01,61.25,2.74
RNF19B,36.01,61.25,2.74
AK2,36.01,61.25,2.74
ADC,36.01,61.25,2.74
TRIM62,36.01,61.25,2.74
ZNF362,36.01,61.25,2.74
PHC2,36.01,61.25,2.74
MIR3605,36.01,61.25,2.74
ZSCAN20,36.01,61.25,2.74
CSMD2,36.01,61.25,2.74
HMGB4,36.01,61.25,2.74
LOC402779,36.01,61.25,2.74
C1orf94,36.01,61.25,2.74
hsa-mir-552,36.2,61.06,2.74
GJB5,36.01,61.25,2.74
GJB4,36.01,61.25,2.74
GJB3,36.01,61.25,2.74
GJA4,36.01,61.25,2.74
C1orf212,36.01,61.25,2.74
DLGAP3,36.01,61.25,2.74
LOC653160,36.01,61.25,2.74
ZMYM6NB,36.01,61.25,2.74
ZMYM6,36.01,61.25,2.74
ZMYM1,35.81,61.45,2.74
SFPQ,35.81,61.45,2.74
ZMYM4,35.81,61.45,2.74
KIAA0319L,35.81,61.45,2.74
NCDN,35.81,61.45,2.74
TFAP2E,35.81,61.45,2.74
PSMB2,35.81,61.45,2.74
C1orf216,35.81,61.45,2.74
CLSPN,35.81,61.45,2.74
EIF2C4,35.81,61.45,2.74
EIF2C1,35.81,61.45,2.74
EIF2C3,35.81,61.45,2.74
ADPRHL2,35.81,61.45,2.74
TEKT2,35.81,61.45,2.74
COL8A2,35.81,61.45,2.74
TRAPPC3,35.81,61.45,2.74
MAP7D1,35.81,61.45,2.74
THRAP3,35.81,61.45,2.74
SH3D21,35.81,61.45,2.74
FAM176B,35.81,61.45,2.74
STK40,35.81,61.45,2.74
LSM10,35.81,61.45,2.74
OSCP1,35.81,61.45,2.74
MRPS15,35.81,61.45,2.74
CSF3R,35.81,61.45,2.74
GRIK3,35.82,61.45,2.74
MIR4255,35.82,61.45,2.74
hsa-mir-4255,35.82,61.45,2.74
LOC728431,35.82,61.45,2.74
ZC3H12A,35.82,61.45,2.74
MEAF6,35.82,61.45,2.74
SNIP1,35.82,61.45,2.74
DNALI1,35.82,61.45,2.74
GNL2,35.82,61.45,2.74
RSPO1,35.82,61.45,2.74
C1orf109,35.82,61.45,2.74
CDCA8,35.82,61.45,2.74
EPHA10,35.82,61.45,2.74
MANEAL,35.82,61.45,2.74
YRDC,35.82,61.45,2.74
C1orf122,35.82,61.45,2.74
MTF1,36.01,61.45,2.54
INPP5B,36.01,61.45,2.54
SF3A3,36.01,61.45,2.54
FHL3,36.01,61.45,2.54
UTP11L,36.01,61.45,2.54
POU3F1,36.01,61.45,2.54
MIR3659,36.01,61.45,2.54
LOC339442,36.01,61.45,2.54
RRAGC,35.81,61.45,2.74
GJA9-MYCBP,35.81,61.45,2.74
MYCBP,35.81,61.45,2.74
GJA9,35.81,61.45,2.74
RHBDL2,35.81,61.45,2.74
AKIRIN1,35.81,61.45,2.74
NDUFS5,35.81,61.45,2.74
MACF1,35.81,61.45,2.74
KIAA0754,35.81,61.45,2.74
BMP8A,35.81,61.45,2.74
PPIEL,35.82,61.45,2.74
PABPC4,35.82,61.45,2.74
SNORA55,35.82,61.45,2.74
HEYL,35.82,61.45,2.74
NT5C1A,35.82,61.45,2.74
HPCAL4,35.82,61.45,2.74
PPIE,35.82,61.25,2.94
BMP8B,35.82,61.25,2.94
OXCT2,35.62,61.45,2.94
TRIT1,35.62,61.45,2.94
MYCL1,35.62,61.64,2.74
MFSD2A,35.62,61.64,2.74
CAP1,35.62,61.64,2.74
PPT1,35.62,61.64,2.74
RLF,35.62,61.64,2.74
TMCO2,35.62,61.64,2.74
ZMPSTE24,35.62,61.64,2.74
COL9A2,35.62,61.64,2.74
SMAP2,35.62,61.64,2.74
ZNF643,35.62,61.64,2.74
ZNF642,35.62,61.64,2.74
DEM1,35.62,61.64,2.74
ZNF684,35.62,61.64,2.74
RIMS3,35.62,61.64,2.74
LOC100130557,35.62,61.64,2.74
NFYC,35.62,61.64,2.74
MIR30C1,35.62,61.64,2.74
MIR30E,35.62,61.64,2.74
hsa-mir-30c-1,35.62,61.64,2.74
hsa-mir-30e,35.62,61.64,2.74
KCNQ4,35.62,61.64,2.74
CITED4,35.62,61.64,2.74
CTPS,35.62,61.64,2.74
LOC100507178,35.62,61.64,2.74
SLFNL1,35.62,61.64,2.74
SCMH1,35.62,61.64,2.74
EDN2,35.62,61.64,2.74
HIVEP3,35.62,61.45,2.94
GUCA2B,35.62,61.45,2.94
GUCA2A,35.62,61.45,2.94
FOXJ3,35.62,61.45,2.94
RIMKLA,35.62,61.45,2.94
ZMYND12,35.62,61.45,2.94
PPCS,35.62,61.45,2.94
CCDC30,35.62,61.45,2.94
PPIH,35.62,61.64,2.74
YBX1,35.62,61.64,2.74
CLDN19,35.62,61.64,2.74
LEPRE1,35.62,61.64,2.74
C1orf50,35.62,61.64,2.74
LOC100129924,35.62,61.64,2.74
CCDC23,35.62,61.64,2.74
ERMAP,35.62,61.64,2.74
ZNF691,35.62,61.64,2.74
SLC2A1,35.62,61.64,2.74
FLJ32224,35.62,61.64,2.74
FAM183A,35.62,61.64,2.74
EBNA1BP2,35.62,61.64,2.74
WDR65,35.62,61.45,2.94
TMEM125,35.62,61.45,2.94
C1orf210,35.62,61.45,2.94
TIE1,35.62,61.45,2.94
MPL,35.62,61.45,2.94
CDC20,35.62,61.45,2.94
ELOVL1,35.62,61.45,2.94
MED8,35.62,61.45,2.94
SZT2,35.62,61.45,2.94
HYI,35.62,61.45,2.94
PTPRF,35.62,61.45,2.94
KDM4A,35.62,61.45,2.94
LOC100132774,35.62,61.45,2.94
ST3GAL3,35.62,61.45,2.94
ARTN,35.62,61.45,2.94
IPO13,35.62,61.45,2.94
ATP6V0B,35.62,61.45,2.94
DPH2,35.62,61.45,2.94
B4GALT2,35.62,61.45,2.94
CCDC24,35.62,61.45,2.94
SLC6A9,35.62,61.45,2.94
KLF17,35.62,61.45,2.94
DMAP1,35.62,61.45,2.94
ERI3,35.62,61.45,2.94
RNF220,35.62,61.45,2.94
TMEM53,35.62,61.45,2.94
C1orf228,35.62,61.45,2.94
KIF2C,35.62,61.45,2.94
RPS8,35.62,61.45,2.94
SNORD38A,35.62,61.45,2.94
SNORD38B,35.62,61.45,2.94
SNORD46,35.62,61.45,2.94
SNORD55,35.62,61.45,2.94
BEST4,35.62,61.45,2.94
BTBD19,35.62,61.45,2.94
PLK3,35.62,61.45,2.94
TCTEX1D4,35.62,61.45,2.94
PTCH2,35.62,61.45,2.94
EIF2B3,35.62,61.45,2.94
HECTD3,35.62,61.45,2.94
UROD,35.62,61.45,2.94
ZSWIM5,35.62,61.45,2.94
LOC400752,35.62,61.45,2.94
HPDL,35.62,61.45,2.94
MUTYH,35.62,61.45,2.94
TOE1,35.62,61.45,2.94
TESK2,35.82,61.45,2.74
CCDC163P,35.62,61.45,2.94
MMACHC,35.62,61.45,2.94
PRDX1,35.62,61.45,2.94
AKR1A1,35.62,61.45,2.94
NASP,35.62,61.45,2.94
CCDC17,35.62,61.45,2.94
GPBP1L1,35.62,61.25,3.13
RPS15AP10,35.62,61.45,2.94
TMEM69,35.62,61.25,3.13
IPP,35.62,61.25,3.13
MAST2,35.62,61.25,3.13
PIK3R3,35.62,61.25,3.13
TSPAN1,35.81,61.06,3.13
POMGNT1,35.81,61.06,3.13
LURAP1,35.81,61.06,3.13
RAD54L,36.01,60.86,3.13
LRRC41,36.01,60.86,3.13
UQCRH,36.01,60.86,3.13
NSUN4,36.01,60.86,3.13
FAAH,36.01,60.86,3.13
LOC729041,36.01,60.86,3.13
DMBX1,36.01,60.86,3.13
KNCN,36.2,60.67,3.13
LOC100507423,36.2,60.67,3.13
MKNK1,36.2,60.67,3.13
MOB3C,36.2,60.86,2.94
ATPAF1,36.2,60.86,2.94
ATPAF1-AS1,36.2,60.86,2.94
KIAA0494,36.2,60.86,2.94
LOC100130197,36.2,60.86,2.94
